starting process map1 with one V8 and 1 scene(s) from E:\VsCode\skynet\ets_runtime\perf\results\runtime_configs\map_capacity_20260713_083029\185p_8g_r1\map1.json
scene map_1 (MapHost) listening on 127.0.0.1:7301
[process:map1] one V8 started with 1 scene(s)
[map_1] MapHost scene started at 127.0.0.1:7301
map_1 accepted 127.0.0.1:56449 as conn 1
map_1 accepted 127.0.0.1:56508 as conn 2
map_1 accepted 127.0.0.1:56509 as conn 3
map_1 accepted 127.0.0.1:56510 as conn 4
map_1 accepted 127.0.0.1:56512 as conn 5
map_1 accepted 127.0.0.1:56511 as conn 6
map_1 accepted 127.0.0.1:56514 as conn 7
map_1 accepted 127.0.0.1:56513 as conn 8
map_1 accepted 127.0.0.1:56515 as conn 9
[map_1] perf_8g_10_185_0_1783931429867 enter map 1 unit 1000
[map_1] perf_8g_10_185_6_1783931429869 enter map 1 unit 1001
[map_1] perf_8g_10_185_9_1783931429869 enter map 1 unit 1002
[map_1] perf_8g_10_185_1_1783931429868 enter map 1 unit 1003
[map_1] perf_8g_10_185_2_1783931429868 enter map 1 unit 1004
[map_1] perf_8g_10_185_3_1783931429868 enter map 1 unit 1005
[map_1] perf_8g_10_185_8_1783931429869 enter map 1 unit 1006
[map_1] perf_8g_10_185_7_1783931429869 enter map 1 unit 1007
[map_1] perf_8g_10_185_5_1783931429868 enter map 1 unit 1008
[map_1] perf_8g_10_185_15_1783931429869 enter map 1 unit 1009
[map_1] perf_8g_10_185_13_1783931429869 enter map 1 unit 1010
[map_1] perf_8g_10_185_4_1783931429868 enter map 1 unit 1011
[map_1] perf_8g_10_185_12_1783931429869 enter map 1 unit 1012
[map_1] perf_8g_10_185_10_1783931429869 enter map 1 unit 1013
[map_1] perf_8g_10_185_14_1783931429869 enter map 1 unit 1014
[map_1] perf_8g_10_185_11_1783931429869 enter map 1 unit 1015
[map_1] perf_8g_10_185_16_1783931429893 enter map 1 unit 1016
[map_1] perf_8g_10_185_17_1783931429896 enter map 1 unit 1017
[map_1] perf_8g_10_185_18_1783931429897 enter map 1 unit 1018
[map_1] perf_8g_10_185_19_1783931429897 enter map 1 unit 1019
[map_1] perf_8g_10_185_20_1783931429899 enter map 1 unit 1020
[map_1] perf_8g_10_185_21_1783931429899 enter map 1 unit 1021
[map_1] perf_8g_10_185_25_1783931429900 enter map 1 unit 1022
[map_1] perf_8g_10_185_22_1783931429899 enter map 1 unit 1023
[map_1] perf_8g_10_185_24_1783931429900 enter map 1 unit 1024
[map_1] perf_8g_10_185_26_1783931429900 enter map 1 unit 1025
[map_1] perf_8g_10_185_23_1783931429900 enter map 1 unit 1026
[map_1] perf_8g_10_185_27_1783931429901 enter map 1 unit 1027
[map_1] perf_8g_10_185_29_1783931429902 enter map 1 unit 1028
[map_1] perf_8g_10_185_28_1783931429901 enter map 1 unit 1029
[map_1] perf_8g_10_185_30_1783931429902 enter map 1 unit 1030
[map_1] perf_8g_10_185_33_1783931429904 enter map 1 unit 1031
[map_1] perf_8g_10_185_32_1783931429902 enter map 1 unit 1032
[map_1] perf_8g_10_185_31_1783931429902 enter map 1 unit 1033
[map_1] perf_8g_10_185_34_1783931429909 enter map 1 unit 1034
[map_1] perf_8g_10_185_35_1783931429912 enter map 1 unit 1035
[map_1] perf_8g_10_185_36_1783931429916 enter map 1 unit 1036
[map_1] perf_8g_10_185_37_1783931429920 enter map 1 unit 1037
[map_1] perf_8g_10_185_39_1783931429920 enter map 1 unit 1038
[map_1] perf_8g_10_185_38_1783931429920 enter map 1 unit 1039
[map_1] perf_8g_10_185_40_1783931429921 enter map 1 unit 1040
[map_1] perf_8g_10_185_42_1783931429922 enter map 1 unit 1041
[map_1] perf_8g_10_185_41_1783931429922 enter map 1 unit 1042
[map_1] perf_8g_10_185_43_1783931429922 enter map 1 unit 1043
[map_1] perf_8g_10_185_44_1783931429923 enter map 1 unit 1044
[map_1] perf_8g_10_185_45_1783931429923 enter map 1 unit 1045
[map_1] perf_8g_10_185_46_1783931429925 enter map 1 unit 1046
[map_1] perf_8g_10_185_47_1783931429925 enter map 1 unit 1047
[map_1] perf_8g_10_185_48_1783931429925 enter map 1 unit 1048
[map_1] perf_8g_10_185_51_1783931429926 enter map 1 unit 1049
[map_1] perf_8g_10_185_50_1783931429926 enter map 1 unit 1050
[map_1] perf_8g_10_185_49_1783931429926 enter map 1 unit 1051
[map_1] perf_8g_10_185_52_1783931429927 enter map 1 unit 1052
[map_1] perf_8g_10_185_53_1783931429937 enter map 1 unit 1053
[map_1] perf_8g_10_185_55_1783931429938 enter map 1 unit 1054
[map_1] perf_8g_10_185_54_1783931429937 enter map 1 unit 1055
[map_1] perf_8g_10_185_56_1783931429938 enter map 1 unit 1056
[map_1] perf_8g_10_185_57_1783931429940 enter map 1 unit 1057
[map_1] perf_8g_10_185_58_1783931429940 enter map 1 unit 1058
[map_1] perf_8g_10_185_59_1783931429941 enter map 1 unit 1059
[map_1] perf_8g_10_185_60_1783931429942 enter map 1 unit 1060
[map_1] perf_8g_10_185_61_1783931429943 enter map 1 unit 1061
[map_1] perf_8g_10_185_62_1783931429944 enter map 1 unit 1062
[map_1] perf_8g_10_185_64_1783931429945 enter map 1 unit 1063
[map_1] perf_8g_10_185_63_1783931429944 enter map 1 unit 1064
[map_1] perf_8g_10_185_65_1783931429946 enter map 1 unit 1065
[map_1] perf_8g_10_185_66_1783931429948 enter map 1 unit 1066
